0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
2.518e-02 7.014e+01 1.160e+02 7.664e+01 2.000e+02 2.000e+02
1.165e-01 7.785e+01 1.156e+02 2.000e+02 2.000e+02 2.000e+02
1.924e-01 7.742e+01 1.160e+02 7.824e+01 2.000e+02 2.000e+02
2.681e-01 7.707e+01 1.159e+02 7.620e+01 2.000e+02 2.000e+02
3.437e-01 7.548e+01 1.158e+02 7.371e+01 2.000e+02 2.000e+02
4.321e-01 7.263e+01 2.000e+02 7.213e+01 2.000e+02 2.000e+02
5.202e-01 7.059e+01 2.000e+02 6.857e+01 2.000e+02 2.000e+02
6.079e-01 6.810e+01 2.000e+02 6.435e+01 2.000e+02 2.000e+02
7.002e-01 1.499e+02 2.000e+02 6.016e+01 2.000e+02 2.000e+02
7.931e-01 1.640e+02 2.000e+02 5.596e+01 2.000e+02 2.000e+02
8.893e-01 2.000e+02 2.000e+02 5.308e+01 2.000e+02 2.000e+02
9.840e-01 1.975e+02 2.000e+02 5.139e+01 2.000e+02 2.000e+02
1.078e+00 1.447e+02 2.000e+02 9.117e+01 2.000e+02 2.000e+02
1.171e+00 1.690e+02 2.000e+02 5.473e+01 2.000e+02 2.000e+02
1.262e+00 2.000e+02 2.000e+02 8.559e+01 2.000e+02 2.000e+02
1.352e+00 1.987e+02 2.000e+02 6.085e+01 2.000e+02 2.000e+02
1.434e+00 2.000e+02 8.055e+01 6.533e+01 2.000e+02 2.000e+02
1.512e+00 1.521e+02 7.709e+01 6.864e+01 2.000e+02 2.000e+02
1.591e+00 1.802e+02 7.258e+01 7.522e+01 2.000e+02 2.000e+02
1.684e+00 1.605e+02 6.600e+01 2.000e+02 2.000e+02 2.000e+02
1.777e+00 1.796e+02 6.155e+01 2.000e+02 2.000e+02 2.000e+02
1.878e+00 2.000e+02 6.128e+01 2.000e+02 2.000e+02 2.000e+02
1.966e+00 2.000e+02 6.226e+01 7.540e+01 2.000e+02 2.000e+02
2.055e+00 2.000e+02 7.941e+01 7.071e+01 2.000e+02 2.000e+02
2.147e+00 1.410e+02 2.000e+02 6.601e+01 2.000e+02 2.000e+02
2.230e+00 1.806e+02 1.418e+02 6.113e+01 2.000e+02 2.000e+02
2.306e+00 7.973e+01 1.357e+02 6.043e+01 2.000e+02 2.000e+02
2.383e+00 1.097e+02 1.284e+02 6.127e+01 2.000e+02 2.000e+02
2.463e+00 1.481e+02 1.207e+02 6.307e+01 2.000e+02 2.000e+02
2.542e+00 1.433e+02 1.369e+02 4.114e+01 2.000e+02 2.000e+02
2.620e+00 1.364e+02 1.316e+02 4.153e+01 2.000e+02 2.000e+02
